題號,題目,選項A,選項B,選項C,選項D,答案
1,「氣化」指的是,氣能化水，水又能化為氣,氣的升降出入運動,體內津、氣、血、精等物質各自的新代謝及相互轉化,氣能生血，血又能生氣,C
2,「相傅之官」指的是,心,腎,脾,肺,D
3,「陰損及陽」所說明的陰陽關係是,陰陽交感,陰陽互根,陰陽對立,陰陽消長,B
4,「陰虛則熱」其證候性質是,實熱證,虛熱證,假熱證,寒熱錯雜證,B
5,「陰在內，陽之守也；陽在外，陰之使也」，體現了陰陽之間的哪種關係,對立制約,互根互用,互為消長,平衡協調,B
6,「元神之府」指的是,腦,髓,骨,脈,A
7,暖氣頻作而響亮，暖氣後脘腹脹減多為,宿食內停,肝氣犯胃,胃陽虧虛,胃虛氣逆,B
8,百合固金湯的主治證候中常見,咯痰帶血,乾咳無痰,咯痰黃稠,咯痰不爽,A
9,敗毒散的組成中含有的藥物是,牛蒡、山梔,防風、白芷,柴胡、前胡,銀花、連翹,C
10,半夏瀉心湯與小柴胡湯兩方組成中均含有的藥物是,柴胡、人參、黃芩、炙甘草、生薑,半夏、黃芩、人參、大棗、炙甘草,人參、黃芩、半夏、乾薑、炙甘草,人參、生薑、半夏、炙甘草、大棗,B
11,被稱為「風藥中之潤劑」的藥物是,威靈仙,防己,蘄蛇,秦艽,D
12,被古人喻為「回光返照」、「殘燈復明」的神態指的是,失神,少神,假神,神亂,C
13,便秘的基本病機是,大腸傳導失常,脾失運化,肝氣鬱結,肺失肅降,A
14,病久必累及的臟腑是,腎,心,脾,肝,A
15,病人因生氣後，覺胸脅痞滿，噁心嘔吐，暖氣不舒，其證屬,肝氣犯胃,肝氣鬱結,肝脾不和,胃氣不降,A
16,補中益氣湯與普濟消毒飲中均含有,柴胡、升麻,黃芪、白朮,當歸、白朮,黃芩、陳皮,A
17,補中益氣湯中使用黃芪的用意是,補氣活血,補氣升陽,補氣行水,補氣生血,B
18,不屬於黃芩的功效是,瀉火,燥濕,退虛熱,止血,C
19,車前子入湯劑時，其用法是,先煎,後下,另煎,包煎,D
20,赤白相兼之濕熱痢疾，治宜選用,芍藥湯,葛根芩連湯,痛瀉要方,真人養臟湯,A
21,川芎茶調散的功用是,散寒止痛,疏風止痛,活血止痛,行氣解鬱,B
22,川芎茶調散的主治病證是,血虛頭痛,痰厥頭痛,氣虛頭痛,外風頭痛,D
23,大承氣湯配伍枳實的意義是,瀉熱通便,行氣消痞,補血調經,下氣除滿,B
24,大黃牡丹湯屬於,潤下劑,逐水劑,攻補兼施劑,寒下劑,D
25,導致患者自汗、多尿、滑精的是,氣的防禦失常,氣的氣化失常,氣的溫煦失常,氣的固攝失常,D
26,導致陰損及陽的主要機理是,陰寒壅盛，陽氣浮越於外,陰液虧損，虛熱內生,陰液虧損，累及陽氣生化不足,外感陰寒之邪，傷及陽氣,C
27,調攝精神和鍛煉身體以提高正氣抗邪能力的防病原則是,既病防變,調理陰陽,未病先防,扶正祛邪,C
28,對於高血壓合併糖尿病的患者，以下哪種藥物是優先考慮的選擇,ACEI/ARB類藥物,鈣通道阻滯劑,利尿劑,β受體阻滯劑,A
29,對於慢性腎炎患者的飲食管理，以下哪項是正確的,低蛋白、高糖、低鹽飲食,高蛋白、高糖、低鹽飲食,低蛋白、低糖、高鹽飲食,高蛋白、低糖、高鹽飲食,A
30,於脾胃虛弱導致的慢性腹瀉，最適宜選用的中藥方劑是,參苓白術散,四君子湯,補中益氣湯,附子理中丸,B
31,對於疑似心臟神經官能症的患者，以下哪項檢查最具診斷價值,心電圖超聲心動圖,冠狀動脈造影,心理評估,運動負荷試驗,D
32,二陳湯主治,濕痰咳嗽,寒痰咳嗽,燥痰咳嗽,熱痰咳嗽,A
33,飯後困倦嗜睡，少氣懶言，食量減少的臨床意義是,脾氣不足,脾陽不足,脾不統血,脾虛濕困,B
34,方藥配伍寓有「通因通用」之意的方劑是,葛根芩連湯,白頭翁湯,痛瀉要方,芍藥湯,D
35,肺癰初期，首選治療方劑是,銀翹散,麻杏石甘湯,葦莖湯,桔梗湯,C
36,甘麥大棗湯的功用是,益氣養血,潤肺止咳,養心安神，和中緩急,疏肝解鬱,D
37,肝血虧損的病機，下列不透確的是,陽氣亢逆於上，耳鳴頭暈,肝血不足，筋脈失養,肝藏血功能減退,月經量減少,A
38,乾咳無痰，口乾咽燥，聲音嘶啞，形體消瘦，午後潮熱，腰膝酸軟，舌紅脈細，證屬,肺腎陰虛證,肺陰虛證,腎陰虛證,肝腎陰虛證,A
39,葛根黃芩黃連湯中配伍黃芩的用意是,解表散寒,清熱燥濕,活血化瘀,補氣升陽,B
40,根據五行學說，下列哪個器官與「土」相配,肝,心,脾,肺,C
41,根據中醫診斷學，下列哪種症狀屬於望診中的面色,舌質,舌苔,面色,脈象,D
42,功能解毒除濕，善治梅毒的藥物是,土茯苓,茯苓,澤瀉,車前子,A
43,關於肝鬱氣滯證的治療原則，下列說法正確的是,疏肝理氣，解鬱化痰,活血化瘀,補益肝腎,溫補脾腎,C
44,關於高血壓的定義，下列描述正確的是,血壓持續超過140/90mmHg,血壓持續超過130/80mmHg,血壓持續超過120/70mmHg,血壓持續超過160/100mmHg,A
45,關於慢性心力衰竭患者在運動訓練中的注意事項，下列哪項描述是正確的,應從低強度運動開始，逐漸增加運動量,應立即進行高強度運動,應避免所有運動,應只做床上運動,B
46,關於心絞痛的診斷，以下哪項描述是正確的,心絞痛發作時，心電圖通常會顯示出T波倒置或異常深的U波,心電圖一定會顯示ST段抬高,心電圖一定會出現病理性Q波,心電圖一定會正常,B
47,關於中藥配伍中的「七情」，以下說法正確的是,「七情」主要指單一用藥以及藥物之間的相互作用關係,「七情」是指七種情緒,「七情」是指七種中藥,「七情」是指七種疾病,A
48,關於中藥藥理作用特點，以下說法不正確的是,中藥適用於各種人群，包括孕婦和兒童,中藥作用通常較溫和,中藥講究辨證論治,中藥配伍講究君臣佐使,A
49,關於中醫辨證論治的基本原則，以下哪項描述是錯誤的,病為本，證為標，治療時應重視治本而非治標,整體觀念,辨證論治,治病求本,A
50,關於中醫對氣血關係的描述，下列哪項是不準確的,氣血互不相干,氣為血之帥,血為氣之母,氣血同源,A
51,關於中醫理論中「氣血不和」的說法，正確的是,氣血不和會導致臟腑功能失調,氣血和疾病無關,氣血不和只會影響情緒,氣血不和與體質無關,A
52,關於中醫體質學說的描述，以下哪項不正確,中醫體質學說認為體質是不可改變的,體質與發病有關,體質可影響治療效果,體質可分為多種基本類型,A
53,關於中醫五臟六腑的說法，正確的是,六腑的功能是儲存精氣，與五臟的功能相輔相成,五臟的主要功能是傳導,六腑的主要功能是運化,五臟與六腑沒有關係,A
54,歸脾湯的功效為,益氣補血，健脾寧心,活血化瘀,清熱解毒,滋陰補腎,B
55,歸脾湯和當歸補血湯兩方組成藥物中均含有,人參、黃芪,當歸、人參,當歸、黃芪,白朮、茯苓,C
56,咳聲如犬吠，伴有聲音嘶啞，呼吸困難多見於,白喉,百日咳,肺炎,肺癌,A
57,咳血方中含有的藥物是,青黛、訶子,梔子、丹皮,生地、白芍,貝母、杏仁,C
58,汗出如油，熱而黏膩，兼見身熱，躁擾煩渴，脈細數疾者屬於,亡陽證,亡陰證,氣陰兩虛,陰陽兩虛,B
59,何方最能體現王冰所謂「益火之源，以消陰翳」之意,六味地黃丸,左歸丸,杞菊地黃丸,腎氣丸,D
60,和解少陽，內瀉熱結的方劑是,小柴胡湯,大柴胡湯,蒿芩清膽湯,柴胡加龍骨牡蠣湯,B
61,槐花散的主治病證是,風熱咳嗽,腸風臟毒之便血,痔瘡出血,崩漏,C
62,患兒，3歲。出丹痧後，眼瞼浮腫繼而全身浮腫，按之凹陷隨手而起尿少。其病機是,風水相搏,濕熱內侵,脾腎陽虛,餘邪未清，內歸肺脾,D
63,患兒，男，7歲。多動多語，衝動任性，難以制約，注意力不集中，胸中煩熱，懊惱不眠，便秘尿赤，舌紅苔黃膩，脈滑數。其證型為,肝腎陰虛,心脾兩虛,痰火內擾,脾虛濕困,C
64,患者，男，18歲。惡寒發熱，頭痛身痛，無汗而喘，舌苔薄白，脈浮緊。治療應首選,麻黃湯,桂枝湯,銀翹散,荊防敗毒散,A
65,患者，男，24歲。頸項強痛，活動受限，頭向患側傾斜，項背牽拉痛，頸項部壓痛明顯，兼見惡風畏寒。治療除取主穴外，還應選用的穴位是,風池、合谷,風府、大椎,天柱、後溪,列缺、風門,C
66,患者，男，45歲，感冒後出現咳嗽，痰少而黏，不易咳出，伴咽痛，舌紅少苔，脈細數。根據中醫診斷，其證候屬於,風寒感冒,風熱感冒,燥咳,痰熱咳嗽,B
67,患者，男，45歲，因反復咳嗽、咳痰5年，加重伴喘息1個月入院。查體：舌紅苔黃膩，脈滑數。下列哪項不是該患者的治療方案,清熱化痰,宣肺止咳,活血化瘀,滋陰潤肺,C
68,患者，男，50歲，患慢性胃炎多年，近期出現腹脹、納差、乏力等症狀。以下哪項治療方法最適宜,西藥治療,中藥調理,手術治療,物理治療,B
69,患者，男，65歲，患有高血壓病3年，近日出現頭痛、頭暈、心悸等症狀，診斷為高血壓病3級，極高危組。請問該患者應該選擇的治療方案是,只需服用降壓藥,控制血壓的同時，注意改善生活方式,只需改善生活方式,無需治療,B
70,患者，男，65歲，近來經常出現頭暈、乏力等症狀，經檢查發現血壓偏高。醫生建議其注意飲食和生活方式的調整。在下列選項中，哪一種食物最有助於降低患者的血壓,香蕉,蘋果,橙子,葡萄,A
71,患者，男，65歲。眩暈，耳鳴如蟬，健忘失眠，脅痛，腰膝酸痛，盜汗，舌紅少苔，脈細數。其證候是,心腎不交,肝陽上亢,肝腎陰虛,脾腎陽虛,C
72,患者，男性，60歲。兩耳聽力下降5年餘，伴耳鳴如蟬，腰膝酸軟，脈沉細。治療應選取,手、足少陽經穴為主，兼取足少陰經穴,手、足太陽經穴為主,手、足陽明經穴為主,手、足太陰經穴為主,A
73,患者，女，26歲，未婚。兩次月經中間陰道少量出血，色鮮紅，質稍稠，無血塊，伴有腰酸，五心煩熱，便艱尿黃，舌質偏紅，脈細數。其治法宜選用,活血化瘀,補腎固沖,滋腎養陰，固沖止血,溫補腎陽,C
74,患者，女，已婚。胃脘痞滿，灼熱，不思飲食，頻頻泛惡，乾嘔，大便秘結，舌紅少津，脈細數。其病機是,胃陰不足,脾胃濕熱,肝胃不和,胃氣上逆,A
75,患者，女，40歲，因慢性胃炎長期服用質子泵抑制劑治療，近日出現口腔念珠菌感染的症狀。請問以下哪種藥物可能有助於緩解該症狀,制黴菌素,抗生素,維生素,止痛藥,A
76,患者，女性，50歲。頭痛多年，後頭部疼痛固定不移，痛如錐刺，舌暗，脈細澀。針灸治療除主穴外，宜取,阿是穴、血海、膈俞,風池、風府,百會、四神聰,太陽、印堂,A
77,患者3年來腰部時常酸痛，腰部肌肉僵硬，久坐加重，舌質淡暗，邊有瘀點。針灸治療除主穴外，應加取,腎俞、命門,膈俞、次髎,環跳、委中,陽陵泉、懸鐘,B
78,患者惡寒較甚，發熱，無汗，身楚倦怠，咳嗽，咳痰無力，舌淡苔薄白，脈浮無力。治療應首選,參蘇飲,敗毒散,荊防敗毒散,桑菊飲,A
79,患者李某，女，62歲。因「頭暈、心悸、乏力半年」就診。既往有貧血史。查體：面色蒼白，瞼結膜蒼白，心率100次/分，律齊，未聞及雜音。肝脾肋下未觸及。血常規檢查顯示紅細胞計數減少，血紅蛋白濃度降低。為進一步明確貧血的原因，首選的檢查是,骨髓穿刺,鐵代謝相關檢查,維生素B12測定,甲狀腺功能檢查,B
80,患者男性，65歲，因「反復胸悶氣短10年，加重伴雙下肢水腫2周」入院。查體：BP90/60mmHg，心界向左擴大，心尖搏動向左下移位，心率90次/分，律齊，可聞及舒張期奔馬律，雙肺呼吸音粗，未聞及乾濕性啰音。腹部膨隆，移動性濁音陽性，雙下肢凹陷性水腫。該患者的診斷最可能是,急性心力衰竭,慢性心力衰竭,心包積液,心肌梗死,B
81,患者男性，年齡在四十歲上下，存在脈象虛浮的表現，兼有舌嫩而面色蒼白等症狀。這些症狀在中醫理論中屬於哪一種體質類型,氣虛體質,陽虛體質,氣血兩虛體質,陰虛體質,C
82,患者女，24歲。進食魚蝦、螃蟹等海鮮後，自覺腹痛，噁心欲吐，大便稀溏，呈稀水樣。用藥應首選,生薑,紫蘇,陳皮,半夏,B
83,患者張某，男，58歲。有長期吸煙史，因反復咳嗽、咳痰5年加重伴氣喘2天入院。查體：體溫37.5℃，脈搏90次/分，呼吸24次/分，血壓130/85mmHg。雙肺呼吸音粗，可聞及散在濕啰音。胸部X線示：兩肺紋理增粗紊亂。血常規檢查白細胞計數升高。該患者的診斷最可能是,支氣管哮喘,慢性阻塞性肺疾病急性加重期,肺炎,肺結核,B
84,患者壯熱面赤，汗出惡熱，煩渴引飲脈洪大有力。治療應首選,白虎湯,銀翹散,麻黃湯,大承氣湯,A
85,既能開竅醒神，又能治療各種瘡痐、咽喉腫痛、目疾、口瘡等的常用藥物是,麝香,冰片,蘇合香,石菖蒲,B
86,既能涼血止血，又能祛痰止咳、生髮烏髮的藥物是,側柏葉,艾葉,茜草,地榆,A
87,既能瀉火涼血，活血祛瘀，又能清洩濕熱的藥物是,大黃,芒硝,蘆薈,番瀉葉,A
88,既能行氣止痛、溫中止嘔，又能納氣平喘的藥物是,沉香,檀香,木香,香附,A
89,見肝之病，知肝傳脾的病機傳變是,木克土,木乘土,木侮土,土侮木,B
90,將藥物用猛火直接燒紅，再投入液體中使之鬆脆，稱做,淬,煅,煉,炒,A
91,桔梗治療咳嗽痰多，其機理是,宣肺祛痰,化痰止咳,潤肺止咳,斂肺止咳,A
92,具有「發中有補，散中有收，邪正兼顧，陰陽並調」配伍特點的方劑是,桂枝湯,麻黃湯,銀翹散,桑菊飲,A
93,具有活血涼血功效的藥組是,丹參、川芎,桃仁、紅花,郁金、丹參,當歸、熟地,D
94,具有涼血止血、清瀉肝火作用的藥物是,槐花,菊花,金銀花,連翹,A
95,具有升浮性質的果實類藥物是,蘇子,蒼耳子,杏仁,桃仁,C
96,具有消食和中，健脾開胃功效的藥物是,麥芽,谷芽,山楂,神曲,B
97,具有逐瘀瀉熱功效的方劑是,血府逐瘀湯,膈下逐瘀湯,桃核承氣湯,補陽還五湯,C
98,可見眩暈，肢體震顫，面白無華症狀的是,肝陽上亢證,肝風內動證,血虛生風證,陰虛風動證,C
99,可用於脾陽不足，中焦虛寒所致的崩漏的方劑是,理中丸和黃土湯,四君子湯,補中益氣湯,歸脾湯,A
100,李某，男，72歲。5年來時感眼前發黑，周圍景物旋轉，甚至無法站立，精神萎靡，腰酸膝軟，兩目乾澀，耳鳴如蟬，舌紅少苔，脈細數。其病證診斷是,眩暈肝陽上亢證,眩暈肝火上炎證,眩暈痰濁中阻證,眩暈腎精不足證,D
101,裡熱極盛，反見四肢發涼，其治療原則是,治標不治本,治病求本,先治後補,標本兼治,B
102,臨床上所見的脹滿疼痛、瘀斑及癥瘕積聚等證候反映了氣與血之間的哪種關係,氣虛血瘀,氣滯血瘀,氣不攝血,氣隨血脫,B
103,苓桂術甘湯的功用是,溫陽化飲，健脾利濕,利水滲濕,清熱利濕,活血化瘀,A
104,六淫的共同致病特點不包括,傳染性,與季節氣候有關,與居住環境有關,可單獨或混合致病,A
105,龍骨與牡蠣二者共同的功效是,重鎮安神，平肝潛陽,斂汗固澀,軟堅散結,滋陰潛陽,A
106,麻黃杏仁甘草石膏湯中，石膏與麻黃的比例為,1:1,2:1,1:2,1:3,B
107,馬錢子的內服量為,0.3~0.6g,0.6~1g,1~2g,2~3g,A
108,面色萎黃、少氣懶言、疲乏無力等症可由哪項導致,氣虛,血虛,氣血兩虛,陰虛,C
109,某女性患者，50歲，經期紊亂，潮熱盜汗，心煩易怒，失眠多夢，伴有頭暈耳鳴，手足心熱，舌紅少苔，脈細數。此病癥在中醫理論中屬於下列哪種類型,腎陰虛,腎陽虛,心腎不交,肝腎陰虛,A
110,某些熱病用苦寒瀉火藥治療，熱象反而加重，則應進一步採用,清熱瀉火,滋養陰液,溫陽散寒,活血化瘀,B
111,某中年男性患者，因長期大量吸煙，近期出現咳嗽、咳痰、咯血等症狀，診斷為慢性支氣管炎急性加重期。請問該患者的治療重點是,控制感染,止咳化痰,吸氧治療,增強免疫力,A
112,木、火、土、金、水最早被稱為,五行,五材,五臟,五腑,B
113,哪種病證最首先影響到肝,血虛,氣滯,血瘀,陰虛,A
114,氣機升降之樞指的是,肝主升發,脾主升清，胃主降濁,肺主肅降,心火下降,C
115,牽牛子不宜與以下哪味藥配伍,巴豆,大戟,甘遂,芫花,A
116,前額部及眉棱骨等處的頭痛多為,太陽頭痛,陽明頭痛,少陽頭痛,厥陰頭痛,B
117,青蒿鱉甲湯證的病機是,溫病初期，邪在肺衛,溫病中期，邪在氣分,溫病後期，邪伏陰分,溫病恢復期，餘熱未清,D
118,青蒿鱉甲湯中青蒿與鱉甲的配伍意義是,滋陰清熱，內清外透,清熱瀉火,活血化瘀,軟堅散結,A
119,清膽利濕，和胃化痰的方劑是,小柴胡湯,蒿芩清膽湯,黃連溫膽湯,龍膽瀉肝湯,B
120,清營湯中所包含的方劑是,增液湯,銀翹散,桑菊飲,白虎湯,A
121,全科醫生在處理慢性阻塞性肺疾病（COPD）患者時，下列哪一項不是其治療原則的一部分,戒煙,無創機械通氣,氧療,康復訓練,B
122,全科醫生在接診患者時，應首先了解患者的哪個方面來判斷其是否需要進一步轉診,患者的健康狀況,患者的經濟狀況,患者的工作性質,患者的家庭背景,A
123,全科醫學中，對於糖尿病患者的隨訪管理，以下哪一項是最關鍵的,定期監測血糖水平，並根據結果調整藥物治療,定期測量血壓,定期檢查視網膜,定期檢查腎功能,A
124,全科醫學中的「四診」指的是哪四種診斷方法,問診、望診，切診、聽診,望診、聞診，問診、切診,舌診、脈診,面診、色診,B
125,三仁湯中的「三仁」為,杏仁，白蔻仁、薏苡仁,桃仁、杏仁,火麻仁、郁李仁,酸棗仁、柏子仁,A
126,善於治療肝氣鬱滯之痛經，稱為「氣病之總司，婦科之主帥」的藥物是,香附,烏藥,川楝子,延胡索,A
127,善於治療寒滯肝脈諸痛的藥物是,吳茱萸,肉桂,乾薑,小茴香,A
128,舌質淡胖，邊有齒痕，多見於,脾虛濕困,脾胃濕熱,肝膽濕熱,肺脾氣虛,A
129,腎的陰陽屬性為,陽中之陽,陰中之陽,陰中之陰,陽中之陰,B
130,腎氣丸的功用是,滋陰補腎,溫補腎陽,益氣補腎,活血化瘀,B
131,十二經脈中，多氣多血的經脈是,手三陰經,手三陽經,足三陽經,足三陰經,C
132,十二經脈中，稱為「十二經之海」的是,督脈,任脈,沖脈,帶脈,C
133,屬於清熱解毒藥的是,金銀花、連翹,麻黃、桂枝,附子、乾薑,人參、黃芪,A
134,四氣是指藥物的,作用、功效,寒、熱、溫、涼,升、降、浮、沉,毒性大小,B
135,天花粉的功效是,清熱瀉火，生津止渴,活血化瘀,溫裡散寒,補氣養血,A
136,五味中，具有「能泄」的特性的是,辛,甘,酸,苦,D
137,五苓散的功用是,利水滲濕，溫陽化氣,清熱利濕,活血化瘀,健脾止瀉,A
138,下列哪項不屬於中醫五臟,心,肝,脾,膽,D
139,下列哪項不屬於中醫六腑,胃,小腸,膀胱,腦,D
140,中醫學的兩大基本特點是,辨證論治、整體觀念,辨病論治、對症治療,陰陽五行、臟腑經絡,A
