题号,题型,题目,选项A,选项B,选项C,选项D,选项E,答案
1,单项选择题,“气化”指的是（ ）,气能化水，水又能化为气,气的升降出入运动,体内津、气、血、精等物质各自的新陈代谢及相互转化,气能生血，血又能生气,,C
2,单项选择题,“相傅之官”指的是（ ）,心,肾,脾,肺,,D
3,单项选择题,“阴损及阳”所说明的阴阳关系是（ ）,阴阳交感,阴阳互根,阴阳对立,阴阳消长,,B
4,单项选择题,“阴虚则热”其证候性质是（ ）,实热证,虚热证,假热证,寒热错杂证,,B
5,单项选择题,“阴在内，阳之守也；阳在外，阴之使也”，体现了阴阳之间的哪种关系（ ）,对立制约,互根互用,互为消长,平衡协调,,B
6,单项选择题,“元神之府”指的是（ ）,脑,髓,骨,脉,,A
7,单项选择题,嗳气频作而响亮，嗳气后脘腹胀减多为（ ）,宿食内停,肝气犯胃,胃阳亏虚,胃虚气逆,,B
8,单项选择题,百合固金汤的主治证候中常见（ ）,咯痰带血,干咳无痰,咯痰黄稠,咯痰不爽,,A
9,单项选择题,败毒散的组成中含有的药物是 （ ）,牛蒡、山栀,防风、白芷,柴胡、前胡,银花、连翘,,C
10,单项选择题,半夏泻心汤与小柴胡汤两方组成中均含有的药物是（ ）,柴胡、人参、黄芩、炙甘草、生姜,半夏、黄芩、人参、大枣、炙甘草,人参、黄芩、半夏、干姜、炙甘草,人参、生姜、半夏、炙甘草、大枣,,B
11,单项选择题,被称为“风药中之润剂”的药物是（ ）,威灵仙,防己,蕲蛇,秦艽,,D
12,单项选择题,被古人喻为“回光返照”、,失神,少神,假神,神乱,,C
13,单项选择题,便秘的基本病机是（ ）,大肠传导失常,脾失运化,肝气郁结,肺失肃降,,A
14,单项选择题,病久必累及的脏腑是（ ）,肾,心,脾,肝,,A
15,单项选择题,病人因生气后，觉胸胁痞满，恶心呕吐，嗳气不舒，其证属（ ）,肝气犯胃,肝气郁结,肝脾不和,胃气不降,,A
16,单项选择题,补中益气汤与普济消毒饮中均含有（ ）,柴胡、升麻,黄芪、白术,当归、白术,黄芩、陈皮,,A
17,单项选择题,补中益气汤中使用黄芪的用意是（ ）,补气活血,补气升阳,补气行水,补气生血,,B
18,单项选择题,不属于黄芩的功效是（ ）,泻火,燥湿,退虚热,止血,,C
19,单项选择题,车前子入汤剂时，其用法是（ ）,先煎,后下,另煎,包煎,,D
20,单项选择题,赤白相兼之湿热痢疾，治宜选用（ ）,芍药汤,葛根芩连汤,痛泻要方,真人养脏汤,,A
21,单项选择题,川芎茶调散的功用是（ ）,散寒止痛,疏风止痛,活血止痛,行气解郁,,B
22,单项选择题,川芎茶调散的主治病证是（ ）,血虚头痛,痰厥头痛,气虚头痛,外风头痛,,D
23,单项选择题,大承气汤配伍枳实的意义是（ ）,泻热通便,行气消痞,补血调经,下气除满,,B
24,单项选择题,大黄牡丹汤属于（ ）,润下剂,逐水剂,攻补兼施剂,寒下剂,,D
25,单项选择题,导致患者自汗、多尿、滑精的是（ ）,气的防御失常,气的气化失常,气的温煦失常,气的固摄失常,,D
26,单项选择题,导致阴损及阳的主要机理是（ ）,阴寒壅盛，阳气浮越于外,阴液亏损，虚热内生,阴液亏损，累及阳气生化不足,外感阴寒之邪，伤及阳气,,C
27,单项选择题,调摄精神和锻炼身体以提高正气抗邪能力的防病原则是（ ）,既病防变,调理阴阳,未病先防,扶正祛邪,,C
28,单项选择题,对于高血压合并糖尿病的患者，以下哪种药物是优先考虑的选择（ ）,ACEI/ARB 类药物,钙通道阻滞剂,利尿剂,β受体阻滞剂,,A
29,单项选择题,对于慢性肾炎患者的饮食管理，以下哪项是正确的（ ）,低蛋白、高糖、低盐饮食,高蛋白、高糖、低盐饮食,低蛋白、低糖、高盐饮食,高蛋白、低糖、高盐饮食,,A
30,单项选择题,于脾胃虚弱导致的慢性腹泻，最适宜选用的中药方剂是（ ）,四君子汤,参苓白术散,理中丸,归脾汤,,B
31,单项选择题,对于疑似心脏神经官能症的患者，以下哪项检查最具诊断价值（ ）,超声心动图,血液生化检查,冠脉造影,心理评估,,D
32,单项选择题,二陈汤主治（ ）,湿痰咳嗽,痰热咳嗽,燥痰咳嗽,寒痰咳嗽,,A
33,单项选择题,饭后困倦嗜睡，少气懒言，食量减少的临床意义是（ ）,痰湿困脾,脾气不足,心肾阳虚,邪闭心神,,B
34,单项选择题,方药配伍寓有“通因通用”之意的方剂是（ ）,凉膈散,玉女煎,清胃散,芍药汤,,D
35,单项选择题,肺痈初期，首选治疗方剂是（ ）,沙参清肺汤,桔梗杏仁煎,银翘散,《千金》苇茎汤,,C
36,单项选择题,甘麦大枣汤的功用是（ ）,镇心安神，清热养血,滋阴清热，养血安神,益阴明目，重镇安神,养心安神，和中缓急,,D
37,单项选择题,肝血亏损的病机，下列不确切的是（ ）,阳气亢逆于上，耳鸣头晕,肝血不足，月经量少,血虚不能上荣，两目干涩,血虚筋脉失养，肢体麻木,,A
38,单项选择题,干咳无痰，口干咽燥，声音嘶哑，形体消瘦，午后潮热，腰膝酸软，舌红脉细，证属（ ）,肺肾阴虚证,肺肾气虚证,肾阴虚证,燥邪犯肺证,,A
39,单项选择题,葛根黄芩黄连汤中配伍黄芩的用意是（ ）,和解清热,清热燥湿,清热止血,清热安胎,,B
40,单项选择题,根据五行学说，下列哪个器官与“土”相配（ ）,心,肝,脾,肺,,C
41,单项选择题,根据中医诊断学，下列哪种症状属于望诊中的面色（ ）,呼吸声粗糙,舌苔薄白,眼窝凹陷,面色晦暗,,D
42,单项选择题,功能解毒除湿，善治梅毒的药物是（ ）,马齿苋,大血藤,重楼,土茯苓,,D
43,单项选择题,关于肝郁气滞证的治疗原则，下列说法正确的是（ ）,补益肝肾，滋养肝血,清热解毒，凉血止血,疏肝理气，解郁化痰,温补脾阳，健脾利湿,,C
44,单项选择题,关于高血压的定义，下列描述正确的是（ ）,血压持续超过 130/85mmHg,血压持续超过 140/90mmHg,血压持续超过 150/95mmHg,血压持续超过 160/100mmHg,,B
45,单项选择题,关于慢性心力衰竭患者在运动训练中的注意事项，下列哪项描述是正确的（ ）,应避免任何形式的运动，以防病情加重,应从低强度运动开始，逐渐增加运动量,心率应控制在最大心率的 60%以下,运动过程中出现任何不适应立即停止，并继续休息,,B
46,单项选择题,关于心绞痛的诊断，以下哪项描述是正确的（ ）,心绞痛患者的心电图在所有情况下都会显示 ST 段压低。,心绞痛发作时，心电图通常会显示出 T 波倒置或异常深的 U 波。,心绞痛患者的心电图在所有时间点都无明显变化。,心绞痛患者的心电图在任何情况下都不会有改变。,,B
47,单项选择题,关于中药配伍中的“七情”，以下说法正确的是（ ）,“七情”指酸、苦、甘等七种药性特征,“七情”主要指单一用药以及药物之间的相互作用关系,“七情”理论强调的是中药与西药的配合使用效果最佳,“七情”在临床应用中必须严格按照一定的配比原则使用,,B
48,单项选择题,关于中药药理作用特点，以下说法不正确的是（ ）,中药起效慢但副作用较小,中药适用于各种人群，包括孕妇和儿童,中药常需要搭配多种药物联合使用以达到治疗效果,中药使用应遵循个体差异，辩证施治原则进行个体化的治疗,,B
49,单项选择题,关于中医辨证论治的基本原则，以下哪项描述是错误的（ ）,望闻问切收集患者资料,辨证与辨病相结合,因人而异采取相应治疗方法,病为本，证为标，治疗时应重视治本而非治标,,D
50,单项选择题,关于中医对气血关系的描述，下列哪项是不准确的（ ）,气为血之帅,血为气之母,气血互不相干,气行则血行,,C
51,单项选择题,关于中医理论中“气血不和”的说法，正确的是（ ）,气血不和是指气和血各自独立运行，互不干扰,气血不和会导致脏腑功能失调,气血不和仅表现为面色苍白无华,气血不和是轻微病症，无需特别治疗,,B
52,单项选择题,关于中医体质学说的描述，以下哪项不正确（ ）,中医体质学说主要探讨正常人体的体质类型及其与疾病的关系,中医体质学说涵盖了人的形态、生理和心理特点,中医体质学说认为体质是不可改变的,中医体质学说强调体质与发病的密切联系,,C
53,单项选择题,关于中医五脏六腑的说法，正确的是（ ）,五脏指的是心、肝、脾、肺、肾，具有实的特点,六腑主要是胃、大肠、小肠等，其主要功能是盛纳食物,五脏功能主要与精神情志有关，与物质代谢关系不大,六腑的功能是储存精气，与五脏的功能相辅相成,,D
54,单项选择题,归脾汤的功效为（ ）,健脾益气，宁心安神,益气补血，健脾宁心,健脾养心，益气摄血,滋阴清热，补心安神,,B
55,单项选择题,归脾汤和当归补血汤两方组成药物中均含有（ ）,熟地、当归,山药、茯苓,熟地、泽泻,当归、黄芪,,D
56,单项选择题,咳声如犬吠，伴有声音嘶哑、呼吸困难多见于（ ）,白喉,顿咳,百日咳,肺炎,,A
57,单项选择题,咳血方中含有的药物是（ ）,栀子、大黄,白术、黄芩,青黛、诃子,蒲黄、当归,,C
58,单项选择题,汗出如油，热而黏腻，兼见身热，躁扰烦渴，脉细数疾者属于（ ）,实热证,亡阳证,亡阴证,阴虚证,,C
59,单项选择题,何方最能体现王冰所谓“益火之源，以消阴翳”之意（ ）,六味地黄丸,地黄饮子,大补阴丸,肾气丸,,D
60,单项选择题,和解少阳，内泻热结的方剂是（ ）,四逆散,大柴胡汤,痛泻要方,蒿芩清胆汤,,B
61,单项选择题,槐花散的主治病证是（ ）,血热妄行之上部出血,肝火犯肺之咳血,肠风脏毒之便血,热结下焦之尿血,,C
62,单项选择题,患儿，3 岁。出丹痧后，眼睑浮肿继而全身浮肿，按之凹陷随手而起尿少。其病机是（ ）,肺脾气虚，水湿不化,耗伤肾阳，气不化水,湿热内蕴，下焦不利,余邪未清，内归肺脾,,D
63,单项选择题,患儿，男，7 岁。多动多语，冲动任性，难以制约，注意力不集中，胸中烦热，懊恼不,肝肾阴虚,心脾两虚,痰火内扰,气郁化火,,C
64,单项选择题,患者，男，18 岁。恶寒发热，头痛身痛，无汗而喘，舌苔薄白，脉浮紧。治疗应首选,小青龙汤,桂枝汤,九味羌活汤,麻黄汤,,D
65,单项选择题,患者，男，24 岁。颈项强痛，活动受限，头向患侧倾斜，项背牵拉痛，颈项部压痛明,内关、外关,肩井、后溪,风池、合谷,血海、阴陵泉,,C
66,单项选择题,患者，男，45 岁，感冒后出现咳嗽，痰少而黏，不易咳出，伴咽痛，舌红少苔，脉细,风寒感冒,风热感冒,暑湿感冒,虚寒感冒,,B
67,单项选择题,患者，男，45 岁，因反复咳嗽、咳痰 5 年，加重伴喘息 1 个月入院。查体：舌红苔黄,清热解毒,化痰止咳,理气平喘,活血化瘀,,D
68,单项选择题,患者，男，50 岁，患慢性胃炎多年，近期出现腹胀、纳差、乏力等症状。以下哪项治,服用抗生素,服用抗酸药,中药调理,服用解痉药,,C
69,单项选择题,患者，男，65 岁，患有高血压病 3 年，近日出现头痛、头晕、心悸等症状，诊断为高,仅给予血压控制药物治疗,控制血压的同时，注意改善生活方式,单纯采取生活方式干预即可,其他选项都不对,,B
70,单项选择题,患者，男，65 岁，近来经常出现头晕、乏力等症状，经检查发现血压偏高。医生建议,香蕉,巧克力,黑木耳,咸鱼,,A
71,单项选择题,患者，男，65 岁。眩晕，耳鸣如蝉，健忘失眠，胁痛，腰膝酸痛，盗汗，舌红少苔，,肾精不足,肾阴虚,肝阴虚,肝肾阴虚,,D
72,单项选择题,患者，男性，60 岁。两耳听力下降 5 年余，伴耳鸣如蝉，腰膝酸软，脉沉细。治疗应,手、足厥阴经穴为主，兼取手少阳经穴,手、足少阴经穴为主，兼取手少阳经穴,手、足太阳经穴为主，兼取足少阴经穴,手、足少阳经穴为主，兼取足少阴经穴,,D
73,单项选择题,患者，女，26 岁，未婚。两次月经中间阴道少量出血，色鲜红，质稍稠，无血块，伴,养阴清热，固冲止血,养阴活血，固冲摄血,滋肾养阴，固冲止血,补肾益气，固冲止血,,C
74,单项选择题,患者，女，26 岁，已婚。胃脘痞满，灼热，不思饮食，频频泛恶，干呕，大便秘结，,脾阴不足,胃阴不足,胃燥津亏,胃热炽盛,,B
75,单项选择题,患者，女，40 岁，因慢性胃炎长期服用质子泵抑制剂治疗，近日出现口腔念珠菌感染,维生素 C,维生素 B12,制霉菌素,阿莫西林,,C
76,单项选择题,患者，女性，50 岁。头痛多年，后头部疼痛固定不移，痛如锥刺，舌暗，脉细涩。针,阿是穴、血海、膈俞,三阴交、肝俞、脾俞,后溪、申脉、侠溪,太阳、太溪、侠溪,,A
77,单项选择题,患者 3 年来腰部时常酸痛，腰部肌肉僵硬，久坐加重，舌质淡暗，边有瘀点。针灸治疗,悬钟、太冲,肾俞、太溪,膈俞、次髎,肾俞、足三里,,C
78,单项选择题,患者恶寒较甚，发热，无汗，身楚倦怠，咳嗽，咳痰无力，舌淡苔薄白，脉浮无力。治,杏苏散,参苏饮,荆防败毒散,葛根汤,,B
79,单项选择题,患者李某，女，62 岁。因“头晕、心悸、乏力半年”就诊。既往有贫血史。查体：面,胃镜检查,骨髓穿刺,大便潜血试验,铁代谢相关检查,,D
80,单项选择题,患者男性，65 岁，因“反复胸闷气短 10 年，加重伴双下肢水肿 2 周”入院。查体：BP,急性心肌梗死,慢性心力衰竭,扩张型心肌病,高血压心脏病,,B
81,单项选择题,患者男性，年龄在四十岁上下，存在脉象虚浮的表现，兼有舌嫩而面色苍白等症状。这,阳虚体质,阴虚体质,气血两虚体质,湿热体质,,C
82,单项选择题,患者女，24 岁。进食鱼虾、螃蟹等海鲜后，自觉腹痛，恶心欲吐，大便稀溏，呈稀水,香薷,紫苏,薄荷,葛根,,B
83,单项选择题,患者张某，男，58 岁。有长期吸烟史，因反复咳嗽、咳痰 5 年加重伴气喘 2 天入院。,支气管哮喘,慢性阻塞性肺疾病急性加重期,肺炎,肺癌,,B
84,单项选择题,患者壮热面赤，汗出恶热，烦渴引饮脉洪大有力。治疗应首选（ ）,黄连解毒汤,竹叶石膏汤,白虎汤,麻黄杏仁甘草石膏汤,,C
85,单项选择题,既能开窍醒神，又能治疗各种疮疡、咽喉肿痛、目疾、口疮等的常用药物是（ ）,芒硝,冰片,朱砂,石膏,,B
86,单项选择题,既能凉血止血，又能祛痰止咳、生发乌发的药物是（ ）,大蓟,紫珠,侧柏叶,槐角,,C
87,单项选择题,既能泻火凉血，活血祛瘀，又能清泄湿热的药物是（ ）,栀子,丹皮,紫草,大黄,,D
88,单项选择题,既能行气止痛、温中止呕，又能纳气平喘的药物是（ ）,沉香,木香,川楝子,乌药,,A
89,单项选择题,见肝之病，知肝传脾的病机传变是（ ）,木克土,木乘土,土侮木,母病及子,,B
90,单项选择题,将药物用猛火直接烧红，再投入液体中使之松脆，称做（ ）,淬,淖,煨,煅,,A
91,单项选择题,桔梗治疗咳嗽痰多，其机理是（ ）,降气消痰,燥湿祛痰,清肺化痰,宣肺祛痰,,D
92,单项选择题,具有“发中有补，散中有收，邪正兼顾，阴阳并调”配伍特点的方剂是（ ）,桂枝汤,麻黄汤,止嗽散,小青龙汤,,A
93,单项选择题,具有活血凉血功效的药组是（ ）,川芎、赤芍,郁金、姜黄,生地黄、玄参,郁金、丹参,,D
94,单项选择题,具有凉血止血、清泻肝火作用的药物是（ ）,大蓟,小蓟,侧柏叶,槐花,,D
95,单项选择题,具有升浮性质的果实类药物是（ ）,旋覆花,金银花,苍耳子,决明子,,C
96,单项选择题,具有消食和中，健脾开胃功效的药物是（ ）,莱菔子,谷芽,白术,苍术,,B
97,单项选择题,具有逐瘀泻热功效的方剂是（ ）,血府逐瘀汤,补阳还五汤,桃核承气汤,温经汤,,C
98,单项选择题,可见眩晕，肢体震颤，面白无华症状的是（ ）,肝阳化风证,阴虚动风证,血虚生风证,热极生风证,,C
99,单项选择题,可用于脾阳不足，中焦虚寒所致的崩漏的方剂是（ ）,四物汤和生化汤,加味逍遥散和固冲汤,归脾汤和补中益气汤,理中丸和黄土汤,,D
100,单项选择题,李某，男，72 岁。5 年来时感眼前发黑，周围景物旋转，甚至无法站立，精神萎靡，,中风中经络之阴虚风动证,眩晕气血亏虚证,中风肝肾亏虚证,眩晕肾精不足证,,D
101,单项选择题,里热极盛，反见四肢发凉，其治疗原则是（ ）,因地制宜,治病求本,祛除邪气,因人制宜,,B
102,单项选择题,临床上所见的胀满疼痛、瘀斑及癥瘕积聚等证候反映了气与血之间的哪种关系（ ）,气不摄血,气滞血瘀,气随血脱,气血两虚,,B
103,单项选择题,苓桂术甘汤的功用是（ ）,温阳化饮，健脾利湿,温阳健脾，行气利水,利水消肿，理气健脾,利水渗湿，温阳化气,,A
104,单项选择题,六淫的共同致病特点不包括（ ）,外感性,季节性,传染性,地域性,,C
105,单项选择题,龙骨与牡蛎二者共同的功效是（ ）,重镇安神、平肝潜阳,重镇安神、凉血止血,重镇安神、清肝明目,收敛固涩、清肝明目,,A
106,单项选择题,麻黄杏仁甘草石膏汤中，石膏与麻黄的比例为（ ）,7∶1,1∶1,2∶1,3∶1,,C
107,单项选择题,马钱子的内服量为（ ）,0.3~0.6g,0.03~0.06g,1~3g,3~6g,,A
108,单项选择题,面色萎黄、少气懒言、疲乏无力等症可由哪项导致（ ）,气滞血瘀,气不摄血,气随血脱,气血两虚,,D
109,单项选择题,某女性患者，50 岁，经期紊乱，潮热盗汗，心烦易怒，失眠多梦，伴有头晕耳鸣，手,肾阴虚,肾阳虚,心脾两虚,肝郁气滞,,A
110,单项选择题,某些热病用苦寒泻火药治疗，热象反而加重，则应进一步采用（ ）,滋养阴液,加重苦寒药量,清利湿热,改用清热药,,A
111,单项选择题,某中年男性患者，因长期大量吸烟，近期出现咳嗽、咳痰、咯血等症状，诊断为慢性,控制感染,祛痰止咳,解痉平喘,促进排痰,,A
112,单项选择题,木、火、土、金、水最早被称为（ ）,五行,五物,五运,五材,,D
113,单项选择题,哪种病证最易首先影响到肝（ ）,气虚,血虚,阴虚,阳虚,,B
114,单项选择题,气机升降之枢指的是（ ）,肺气宣发，又主肃降,心火下降，肾水上升,脾主升清，胃主降浊,肝气主升，肺气主降,,C
115,单项选择题,牵牛子不宜与以下哪味药配伍（ ）,人参,苦参,巴豆,莱菔子,,C
116,单项选择题,前额部及眉棱骨等处的头痛多为（ ）,太阳头痛,厥阴头痛,阳明头痛,少阳头痛,,C
117,单项选择题,青蒿鳖甲汤证的病机是（ ）,阳明气分热盛证,阴虚有火，潮热盗汗证,阴虚内热，虚劳骨蒸证,温病后期，邪伏阴分证,,D
118,单项选择题,青蒿鳖甲汤中青蒿与鳖甲的配伍意义是（ ）,除烦坚阴，润燥降火,养血育阴，益气固表,滋阴退热，泻火除烦,滋阴清热，内清外透,,D
119,单项选择题,清胆利湿，和胃化痰的方剂是（ ）,青蒿鳖甲汤,茵陈蒿汤,半夏泻心汤,蒿芩清胆汤,,D
120,单项选择题,清营汤中所包含的方剂是（ ）,导赤散,左金丸,生脉散,增液汤,,D
121,单项选择题,全科医生在处理慢性阻塞性肺疾病（COPD）患者时，下列哪一项不是其治疗原则的一,长期家庭氧疗,无创机械通气,糖皮质激素吸入,呼吸功能锻炼,,B
